,account.username,shopid,mtime,country,rating_normal,rating_bad,rating_good,description,rating_star,item_count,follower_count,response_rate,shop_location
0,atuner.official,441748744,1632540269,VN,3,0,108,"ATUNER OFFICIAL là đơn vị phân phối chính hãng nhãn hiệu ARISTINO, KWIN, ATUNER trên các sàn thương mại điện tử.
+ Phong Cách, Thời Trang
+ Lịch Lãm, Đẳng Cấp
+ Mang lại sự trẻ trung đầy phong cách cho bạn",4.889908,56,1434,48,Hà Nội
0,akuba.menswear,102041787,1632544279,VN,60,27,2120,"AKUBA - Thương hiệu thời trang dành cho nam giới hiện đại.

Chuyên sản xuất hàng may mặc trong và ngoài nước, đáp ứng mọi kiểu dáng và yêu cầu của khách hàng nhằm phục vụ tốt nhất các nhu cầu mong muốn.",4.841612,137,12830,93,TP. Hồ Chí Minh
0,amazingthoitrang,94331935,1632544284,VN,16,7,915,"Thương hiệu thời trang công sở AMAZING ra đời năm 2007, đã khẳng định tên tuổi của mình tại thị trường thời trang trong nước và Đông Nam Á với nhiều giải thưởng ấn tượng:
* "" Sản phẩm thương hiệu chất lượng cao"" năm 2016
* "" Thương hiệu mạnh ASEAN "" năm 2017 tại Singapore
* "" Rồng Vàng Châu Á"" năm 2018 tại Seoul _ Hàn Quốc
Thương hiệu trực thuộc bản quyền của cty TNHH thời trang Ti Phú.
Số 947/19 Lạc Long Quân, P11, Quận Tân Bình, TP HCM
ZALO: 0907 427 838",4.887417,197,1762,87,TP. Hồ Chí Minh
0,amihouse_official,323491987,1632538042,VN,14,2,463,"Shop ÁO PHÔNG AMI
-Chào mừng anh(chị) đến với Shop Áo Phông AMI <3 !!!
-Shop chuyên bán áo phông nam, nữ. Hãy ghé thăm Shop AMI, chúng tôi thường xuyên bổ sung và cập nhật thêm các mẫu mới nhất về áo phông nam, nữ mới để phục vụ anh(chị).
-Số điện thoại Shop AMI: +84865751683
-Địa chỉ Shop AMI: CT2 Dream Town Tây Mỗ - Phường Tây Mỗ - Quận Nam Từ Liêm - Hà Nội.",4.886266,83,2234,98,Hà Nội
0,aokang_flagship_store,94538778,1632454511,VN,5,1,188,"Tập đoàn AOKANG chuyên về lĩnh vực thiết kế, chế tạo, sản xuất giày da với 5 thương hiệu giày và đồ da nổi tiếng. AOKANG luôn kiên trì theo đuổi phương châm “ Chất lượng dẫn đầu – Uy tín dài lâu” , thực hiện chiến lược “ Aokang bền vững dài lâu, thương hiệu toàn cầu” , sứ mệnh thực hiện “ Cống hiến cho sự tiến bộ nhân loại” và theo đuổi các giá trị quan “ Uy tín, sáng tạo, con người, hài hòa” đóng góp vào sự phát triển phồn vinh và thịnh vượng của xã hội.
Hotline: 1800 969658",4.870466,334,2402,91,Hà Nội
0,aremishop_2020,257412160,1632548092,VN,277,107,17109,"AREMI -Thương hiệu thời trang nam dẫn đầu phong cách đơn giản,sang trọng và hiện đại. 
Với phương châm “lối sống đơn giản tạo nên phong cách chất lượng”. Aremi giúp con người tìm đến những giá trị cốt lõi trong đời sống hiện đại bằng một phong cách tối giản nhất. Bắt đầu từ những chiếc áo Polo.
Chúng tôi quan tâm đến từng cảm giác của khách hàng khi sử dụng sản phẩm chính vì vậy CHẤT LƯỢNG là tiêu chí hàng đầu. Với tinh thần thiết kế đề cao sự tinh giản, thoải mái nhưng vẫn giữ được nét sang tạo",4.90537,85,51031,84,TP. Hồ Chí Minh
0,aristinoofficial,54442889,1632547312,VN,111,35,6333,"𝐍𝐄𝐖 𝐂𝐎𝐋𝐋𝐄𝐂𝐓𝐈𝐎𝐍 𝟐𝟎𝟐𝟏 | 𝐀𝐌𝐀𝐙𝐈𝐍𝐆 𝐕𝐈𝐄𝐓𝐍𝐀𝐌: DẤU ẤN TỰ HÀO
Với thông điệp ""Dệt Nên Tự Hào"", Aristino New Collection 2021 mang tên ""Amazing Vietnam"" đã mang đến một bức tranh tươi sáng, sôi nổi và tràn đầy tự hào thông qua những phục trang mùa hè quen thuộc của nam giới.",4.909091,634,32404,93,Hà Nội
0,aristinovietnam,194098340,1632536298,VN,16,5,1278,"ARISTINO:
 - Thời trang nam cao cấp được ưa thích tại Việt Nam. Trang phục của  Aristino được  thiết kế tinh tế trên chất liệu thời thượng tạo sự lịch lãm & mạnh mẽ cho người mặc.
- Webside: http://aristino.com
- Hotline: 091 817 3936

Aristino - BE THE MAN
ARISTINO - Thời trang nam cao cấp được ưa thích tại Việt Nam. Trang phục của  Aristino được  thiết kế tinh tế trên chất liệu thời thượng tạo sự lịch lãm & mạnh mẽ cho người mặc.",4.929739,209,12070,91,Hà Nội
0,armousclothing,26375970,1632196786,VN,54,17,2080,"Everyone always set out the standards and distances for himself. We think, it is not the most important thing. And Ar Mous hope will clear be sacrificed them based on the platform of the minimalist. Because I'm a minimalist!
Local Brand  in Vietnam

STORE 1 : 355 Cach Mang Thang 8 Street, Ward 12, District 10, HCMC
STORE 2 : "" The New Playground"" - Le Lai Street, District 1, HCMC 
STORE 3 : 540 Nguyen Dinh Chieu Street, Ward 4, District 3, HCMC 

HOTLINE: 038 978 7299",4.86788,93,26741,100,TP. Hồ Chí Minh
0,shopphuocan52nguyenbaluat,6911354,1631711961,VN,3736,1650,51964,"các xưởng và các khách sỉ thân mếm.
Luôn luôn ra mẫu mới hằng ngày.= giá cả thì siêu sốc cho các bạn lợi nhuận cao nhất có thể.
xưởng may chuyên làm hàng theo yêu cầu, và mẫu mới được cung cấp mỗi ngày, khách sỉ luôn được ưu đải và hổ trợ tốt nhất.
 liên hệ zalo: 0902904729 .
D/C: 213 Tô Ngọc Vân, p. Linh Đông, Thủ đức HCM.
sdt: 0902904729
fanpage: trumtrumsi.vn
WED: trumtrumsi.vn
Xưởng may chuyên bán buôn- bán sỉ, giá cả siêu rẻ đẹp, tren toàn quốc.
LH: 0902904729",4.645816,635,100908,39,TP. Hồ Chí Minh
